CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_ID,Institution_School,School_ID,Course_Name,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Areas,Teachin&Learning_Topics Covered,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
Biologia e Bioquímica,421,Universidade Católica Portuguesa,, Escola Superior de Biotecnologia,,Biociências,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Biociências,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Nova de Lisboa,, Faculdade de Ciências e Tecnologia,,Biociências Moleculares,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Nova de Lisboa,, Instituto de Tecnologia Química e Biológica António Xavier,,Biociências Moleculares,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Instituto Politécnico de Coimbra,, Escola Superior Agrária de Coimbra,,Biocombustíveis,,,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Ponta Delgada,,Biodiversidade e Biotecnologia,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Faculdade de Ciências e Tecnologia,,Biodiversidade e Biotecnologia,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Biodiversidade e Biotecnologia Vegetal,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Ponta Delgada,,Biodiversidade e Biotecnologia Vegetal,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade da Madeira,,,,Biodiversidade e Conservação,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Algarve,, Faculdade de Ciências e Tecnologia,,Biodiversidade e Conservação Marinha,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Algarve,, Faculdade de Ciências do Mar e do Ambiente,,Biodiversidade e Conservação Marinha,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Ponta Delgada,,Biodiversidade e Ecologia Insular,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Porto,, Faculdade de Ciências,,Biodiversidade e Recursos Genéticos,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Coimbra,, Faculdade de Ciências e Tecnologia,,Biodiversidade e Taxonomia,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,"Biodiversidade, Adaptação e Alterações Globais",,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,"Biodiversidade, Adaptação e Alterações Globais",,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Porto,, Faculdade de Ciências,,"Biodiversidade, Genética e Evolução",,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Porto,, Faculdade de Ciências,,"Biodiversidade, Genética e Evolução",,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,"Biodiversidade, Genética e Evolução",,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,"Biodiversidade, Genética e Evolução",,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Biofísica,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Biofísica,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Nova de Lisboa,, Faculdade de Ciências e Tecnologia,,Biofísica,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Biofísica,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Nova de Lisboa,, Faculdade de Ciências e Tecnologia,,Biofísica,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Biofísica,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Minho,,,,Biofísica e Bionanossistemas,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Nova de Lisboa,, Faculdade de Ciências e Tecnologia,,Biofísica e Bioquímica das Radiações,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade dos Açores,, Ponta Delgada,,Bioinformática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Instituto Politécnico de Coimbra,, Instituto Superior de Contabilidade e Administração de Coimbra,,Bioinformática,,,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Bioinformática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Bioinformática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Bioinformática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,"ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida",,,,Bioinformática,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Bioinformática,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Instituto Politécnico de Setúbal,, Escola Superior de Tecnologia de Setúbal,,Bioinformática,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Católica Portuguesa,, Escola Superior de Biotecnologia,,Bioinformática,,,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Instituto Politécnico de Setúbal,, Escola Superior de Ciências Empresariais,,Bioinformática,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade Católica Portuguesa,, Escola Superior de Biotecnologia,,Bioinformática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Lisboa,, Faculdade de Ciências,,Bioinformática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Minho,,,,Bioinformática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Porto,, Faculdade de Ciências,,Bioinformática,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
