CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_ID,Institution_School,School_ID,Course_Name,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Areas,Teachin&Learning_Topics Covered,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
Ciências Informáticas,481,Instituto Superior Bissaya Barreto,,,,Engenharia de Software e Computação,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Lusófona de Humanidades e Tecnologias,,,,Engenharia de Software e Sistemas de Informação,,,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Lusófona do Porto,,,,Engenharia de Software e Sistemas de Informação,,,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,ISLA,, Instituto Superior de Gestão e Administração de Santarém,,Engenharia de Tecnologias e Sistemas Web,,,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,ISLA,, Instituto Politécnico de Gestão e Tecnologia - Escola Superior de Tecnologia,,Engenharia de Tecnologias e Sistemas Web,,,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Técnica de Lisboa,, Instituto Superior Técnico (Taguspark),,Engenharia dos Sistemas de Informação e Multimédia,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,,,,Engenharia e Gestão de Sistemas de Informação,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,,,,Engenharia e Gestão de Sistemas de Informação,,,,Mestrado integrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,,,,Engenharia e Gestão de Sistemas de Informação,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,,,,Engenharia e Gestão de Sistemas de Informação (regime pós-laboral),,,,Mestrado integrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Fernando Pessoa,,,,Gestão de Redes e Sistemas Informáticos,,,,Curso de especialização tecnológica,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Europeia,,,,Gestão de Redes e Sistemas Informáticos,,,,Curso de especialização tecnológica,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Tecnologias Avançadas de Lisboa (Porto),,,,Gestão de Redes e Sistemas Informáticos,,,,Curso de especialização tecnológica,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior Politécnico Gaya,, Escola Superior de Ciência e Tecnologia,,Gestão de Redes e Sistemas Informáticos,,,,Curso de especialização tecnológica,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Coimbra,, Escola Superior de Tecnologia e Gestão de Oliveira do Hospital,,Gestão de Redes e Sistemas Informáticos,,,,Curso de especialização tecnológica,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Escola Superior de Tecnologias de Fafe,,,,Gestão de Redes e Sistemas Informáticos,,,,Curso de especialização tecnológica,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico do Porto,, Escola Superior de Tecnologia e Gestão,,Gestão de Redes e Sistemas Informáticos,,,,Curso de especialização tecnológica,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,ISLA,, Instituto Superior de Gestão e Administração de Santarém,,Gestão de Redes e Sistemas Informáticos,,,,Curso de especialização tecnológica,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Viana do Castelo,, Escola Superior de Ciências Empresariais,,Gestão de Redes e Sistemas Informáticos,,,,Curso de especialização tecnológica,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Tecnologias Avançadas de Lisboa,,,,Gestão de Redes e Sistemas Informáticos,,,,Curso de especialização tecnológica,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Atlântica,,,,Gestão de Sistemas de Computação,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Nova de Lisboa,, Faculdade de Ciências Sociais e Humanas,,Gestão de Sistemas de E-Learning,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Nova de Lisboa,, Faculdade de Ciências Sociais e Humanas,,Gestão de Sistemas de E-Learning,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,ISCTE,, Instituto Universitário de Lisboa,,Gestão de Sistemas de Informação,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Setúbal,, Escola Superior de Ciências Empresariais,,Gestão de Sistemas de Informação,,,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Setúbal,, Escola Superior de Ciências Empresariais,,Gestão de Sistemas de Informação,,,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Setúbal,, Escola Superior de Ciências Empresariais,,Gestão de Sistemas de Informação,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,ISCTE,, Instituto Universitário de Lisboa,,Gestão de Sistemas de Informação,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Instituto Superior de Economia e Gestão,,Gestão de Sistemas de Informação,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Técnica de Lisboa,, Instituto Superior de Economia e Gestão,,Gestão de Sistemas de Informação,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Técnica de Lisboa,, Instituto Superior de Economia e Gestão,,Gestão de Sistemas de Informação,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Évora,,,,Gestão de Sistemas de Informação,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Leiria,, Escola Superior de Tecnologia e Gestão,,Gestão de Sistemas de Informação Médica,,,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Porto,, Faculdade de Medicina,,Gestão de Sistemas de Informação Médica,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Línguas e Administração de Bragança,,,,Gestão de Sistemas de Informação e Multimédia,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Línguas e Administração de Vila Nova de Gaia,,,,Gestão de Sistemas de Informação e Multimédia,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Atlântica,,,,Gestão de Sistemas e Computação,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Atlântica,, Instituto Universitário,,Gestão de Sistemas e Computação,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Atlântica,,,,Gestão de Sistemas e Informação,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Atlântica,,,,Gestão de Sistemas e Tecnologias de Informação,,,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Atlântica,, Instituto Universitário,,Gestão de Sistemas e Tecnologias de Informação,,,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Atlântica,,,,Gestão de Sistemas e Tecnologias de Informação,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Católica Portuguesa,, Faculdade de Economia e Gestão,,Gestão dos Sistemas de Informação,,,,Especialização pós-licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Nova de Lisboa,, Instituto Superior de Estatística e Gestão de Informação,,Information and Communication Technologies for Banking Services,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade da Beira Interior,,,,Information and Communication Technologies for Cloud and Data Center,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Católica Portuguesa,, Faculdade de Economia e Gestão,,Informação Gestão e Negócio,,,,Especialização pós-licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Aberta,,,,Informação e Sistemas Empresariais,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Instituto Superior Técnico,,Informação e Sistemas Empresariais,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Técnica de Lisboa,, Instituto Superior Técnico (Alameda),,Informação e Sistemas Empresariais,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Trás-os-Montes e Alto Douro,, Escola de Ciências e Tecnologia,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade dos Açores,, Ponta Delgada,,Informática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade dos Açores,, Ponta Delgada,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade dos Açores,, Faculdade de Ciências e Tecnologia,,Informática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Algarve,,,,Informática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Algarve,, Faculdade de Ciências e Tecnologia,,Informática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Aveiro,,,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade da Beira Interior,,,,Informática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade da Beira Interior,,,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Évora,,,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Évora,,,,Informática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Évora,, Instituto de Investigação e Formação Avançada,,Informática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Évora,, Instituto de Investigação e Formação Avançada,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Faculdade de Ciências,,Informática,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Faculdade de Ciências,,Informática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Faculdade de Ciências,,Informática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Faculdade de Ciências,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Faculdade de Ciências,,Informática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Faculdade de Ciências,,Informática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Nova de Lisboa,, Faculdade de Ciências e Tecnologia,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Nova de Lisboa,, Faculdade de Ciências e Tecnologia,,Informática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,,,,Informática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,,,,Informática,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,,,,Informática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,,,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Minho,,,,Informática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Porto,, Faculdade de Ciências,,Informática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Porto,, Faculdade de Ciências,,Informática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Porto,, Faculdade de Ciências,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade do Porto,, Faculdade de Engenharia,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Trás-os-Montes e Alto Douro,,,,Informática,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Trás-os-Montes e Alto Douro,,,,Informática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Trás-os-Montes e Alto Douro,,,,Informática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Trás-os-Montes e Alto Douro,,,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Trás-os-Montes e Alto Douro,,,,Informática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Trás-os-Montes e Alto Douro,,,,Informática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Trás-os-Montes e Alto Douro,,,,Informática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Trás-os-Montes e Alto Douro,, Escola de Ciências e Tecnologia,,Informática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Trás-os-Montes e Alto Douro,, Escola de Ciências e Tecnologia,,Informática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Trás-os-Montes e Alto Douro,, Escola de Ciências e Tecnologia,,Informática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade da Madeira,,,,Informática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade da Madeira,,,,Informática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Aberta,,,,Informática,,,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Aberta,,,,Informática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Aberta,,,,Informática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Aberta,,,,Informática,,,,Bacharelato,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Faculdade de Ciências,,Informática,,,,Mestrado,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Faculdade de Ciências,,Informática,,,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Faculdade de Ciências,,Informática,,,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Faculdade de Ciências,,Informática,,,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Faculdade de Ciências,,Informática,,,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,, Faculdade de Ciências,,Informática,,,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Autónoma de Lisboa Luís de Camões,,,,Informática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Autónoma de Lisboa Luís de Camões,,,,Informática,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Católica Portuguesa,, Centro Regional das Beiras,,Informática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Católica Portuguesa,, Escola Superior de Ciências e Tecnologia (Viseu),,Informática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Lusíada,,,,Informática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Lusíada,,,,Informática,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Portucalense Infante D. Henrique,,,,Informática,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Portucalense Infante D. Henrique,,,,Informática,,,,Mestrado,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Portucalense Infante D. Henrique,,,,Informática,,,,Doutoramento 3.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Portucalense Infante D. Henrique,,,,Informática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Portucalense Infante D. Henrique,,,,Informática,,,,Doutoramento,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Portucalense Infante D. Henrique,,,,Informática,,,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade Lusófona de Humanidades e Tecnologias,,,,Informática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Beja,, Escola Superior de Educação,,Informática,,,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Beja,, Escola Superior de Tecnologia e de Gestão,,Informática,,,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico do Cávado e do Ave,, Escola Superior de Tecnologia,,Informática,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Bragança,, Escola Superior de Tecnologia e de Gestão de Bragança,,Informática,,,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Bragança,," Escola Superior de Comunicação, Administração e Turismo de Mirandela",,Informática,,,,Curso técnico superior profissional,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Bragança,," Escola Superior de Comunicação, Administração e Turismo de Mirandela",,Informática,,,,Curso de especialização tecnológica,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Portalegre,, Escola Superior de Tecnologia e Gestão,,Informática,,,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico do Porto,, Instituto Superior de Engenharia do Porto,,Informática,,,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Santarém,, Escola Superior de Gestão e Tecnologia de Santarém,,Informática,,,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Tomar,, Escola Superior de Tecnologia de Abrantes,,Informática,,,,Curso técnico superior profissional,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior Autónomo de Estudos Politécnicos,,,,Informática,,,,Licenciatura bietápica,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior Autónomo de Estudos Politécnicos,,,,Informática,,,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Gestão,,,,Informática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Universitário da Maia,, ISMAI,,Informática,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Matemática e Gestão de Lisboa,,,,Informática,,,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior Politécnico Portucalense,, Instituto Superior Politécnico Portucalense de Lamego,,Informática,,,,Bacharelato,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior Politécnico Portucalense de Penafiel,,,,Informática,,,,Bacharelato,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior Politécnico Portucalense (Santo Tirso),,,,Informática,,,,Bacharelato,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior Miguel Torga,,,,Informática,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Tecnologias Avançadas de Lisboa,,,,Informática,,,,Bacharelato,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Tecnologias Avançadas de Lisboa,,,,Informática,,,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Tecnologias Avançadas de Lisboa,,,,Informática,,,,Licenciatura bietápica,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Tecnologias Avançadas de Lisboa,,,,Informática,,,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Tecnologias Avançadas de Lisboa (Porto),,,,Informática,,,,Licenciatura bietápica,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Tecnologias Avançadas de Lisboa (Porto),,,,Informática,,,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Tecnologias Avançadas de Lisboa (Porto),,,,Informática,,,,Bacharelato,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade da Maia,,,,Informática,,,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior de Tecnologias Avançadas do Porto,,,,Informática,,,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico de Coimbra,, Instituto Superior de Engenharia de Coimbra,,Informática (Curso Europeu),,,,Licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade da Maia,,,,Informática (regime de ensino a distância),,,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Politécnico do Porto,, Instituto Superior de Engenharia do Porto,,Informática (regime nocturno),,,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,4/12/2022,,,,
