,CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_Name_ID,Institution_School,Unnamed: 5,Institution_School_ID,Course_Name,Course_Name_ID,PDC Selection,SM Selection,JA Selection,Final Selection,Unnamed: 13,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Area 1,ECTS_1,Teachin&Learning_Thematic Area 2,ECTS_2,Teachin&Learning_Thematic Area 3,ECTS_3,Teachin&Learning_Thematic Area 4,ECTS_4,Teachin&Learning_Thematic Area 5,ECTS_5,Teachin&Learning_Thematic Area 6,ECTS_6,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
350,Enfermagem,723,Escola Superior de Saúde Cruz Vermelha Portuguesa,2701,Alto Tâmega,Escola Superior de Saúde Cruz Vermelha Portuguesa - Alto Tâmega,2701,Enfermagem,,Not sure,Not sure,,No,,,Oeiras,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
351,Enfermagem,723,Instituto Politécnico de Saúde do Norte,4107,CESPU - Escola Superior de Enfermagem do Tâmega e Sousa,Instituto Politécnico de Saúde do Norte - CESPU - Escola Superior de Enfermagem do Tâmega e Sousa,4107,Enfermagem,,Not sure,Not sure,,No,,,Paredes,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
352,Enfermagem,723,Instituto Universitário de Ciências da Saúde,4441,,Instituto Universitário de Ciências da Saúde - ,4441,Enfermagem,,Not sure,Not sure,,No,,,Vila Nova De Gaia,,Bacharelato,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
353,Enfermagem,723,ISAVE,4441,Instituto Superior de Saúde,ISAVE - Instituto Superior de Saúde,4441,Enfermagem,,Not sure,Not sure,,No,,,Vila Nova De Gaia,,Licenciatura,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
354,Enfermagem,723,ISAVE,4441,Instituto Superior de Saúde,ISAVE - Instituto Superior de Saúde,4441,Enfermagem,,Not sure,Not sure,,No,,,Vila Nova De Gaia,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
355,Enfermagem,723,Escola Superior de Saúde Atlântica,2701,,Escola Superior de Saúde Atlântica - ,2701,Enfermagem,,Not sure,Not sure,,No,,,Oeiras,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
356,Enfermagem,723,Instituto Politécnico Jean Piaget do Sul,3135,Escola Superior de Saúde Jean Piaget de Algarve,Instituto Politécnico Jean Piaget do Sul - Escola Superior de Saúde Jean Piaget de Algarve,3135,Enfermagem,,Not sure,Not sure,,No,,,Porto,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
357,Enfermagem,723,Instituto Politécnico da Lusofonia,3095,Escola Superior de Saúde Ribeiro Sanches,Instituto Politécnico da Lusofonia - Escola Superior de Saúde Ribeiro Sanches,3095,Enfermagem,,Not sure,Not sure,,No,,,Seia,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
358,Enfermagem,723,Escola Superior de Saúde da Fundação 'Fernando Pessoa',4091,,Escola Superior de Saúde da Fundação 'Fernando Pessoa' - ,4091,Enfermagem,,Not sure,Not sure,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
359,Enfermagem,723,Instituto Politécnico Jean Piaget do Norte,3135,Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia,Instituto Politécnico Jean Piaget do Norte - Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia,3135,Enfermagem,,Not sure,Not sure,,No,,,Porto,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
