,CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_Name_ID,Institution_School,Unnamed: 5,Institution_School_ID,Course_Name,Course_Name_ID,PDC Selection,SM Selection,JA Selection,Final Selection,Unnamed: 13,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Area 1,ECTS_1,Teachin&Learning_Thematic Area 2,ECTS_2,Teachin&Learning_Thematic Area 3,ECTS_3,Teachin&Learning_Thematic Area 4,ECTS_4,Teachin&Learning_Thematic Area 5,ECTS_5,Teachin&Learning_Thematic Area 6,ECTS_6,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
0,Saúde,720,Instituto Politécnico do Porto,3130,Escola Superior de Saúde do Porto,Instituto Politécnico do Porto - Escola Superior de Saúde do Porto,3132,Bioestatística e Bioinformática Aplicadas à Saúde,,Yes,Yes,,Yes,,,Porto,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
1,Saúde,720,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Ciência de Dados de Saúde,,Yes,Yes,Yes,Yes,,,Porto,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
2,Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Ciências da Engenharia - Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
3,Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
4,Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
5,Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
6,Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
7,Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
8,Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Engenharia Biomédica e Biofísica,,Not sure,Yes,,Yes,,,Lisboa,,Mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
9,Engenharia e Técnicas Afins,520,Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Tecnologia,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,3032,Engenharia Informática Médica,,Yes,Yes,Yes,Yes,,,Barcelos,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
10,Ciências Informáticas,481,Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,7045,Gestão de Sistemas de Informação Médica,,Not sure,Yes,Yes,Yes,,,Leiria,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
11,Ciências Informáticas,481,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Gestão de Sistemas de Informação Médica,,Not sure,Yes,Yes,Yes,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
12,Estatística,462,Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,7220,Health Data Science,,Yes,Yes,Yes,Yes,,,Lisboa,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
13,Informática - programas não classificados noutra área de formação,489,Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Tecnologia,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,3032,Informática Médica,,Yes,Yes,Yes,Yes,,,Barcelos,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
14,Informática - programas não classificados noutra área de formação,489,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Informática Médica,,Yes,Yes,Yes,Yes,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
15,Informática - programas não classificados noutra área de formação,489,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Informática Médica,,Yes,Yes,Yes,Yes,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
16,Informática - programas não classificados noutra área de formação,489,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Informática na Saúde,,Yes,Yes,Yes,Yes,,,Porto,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
17,Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Tomar,3240,Escola Superior de Tecnologia de Abrantes,Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Abrantes,3243,Informática na Saúde,,Yes,Yes,Yes,Yes,,,Abrantes,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
18,Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Viseu,3180,Escola Superior de Saúde de Viseu,Instituto Politécnico de Viseu - Escola Superior de Saúde de Viseu,7085,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Viseu,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
19,Informática - programas não classificados noutra área de formação,489,Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Tecnologia,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,3032,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Barcelos,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
20,Informática - programas não classificados noutra área de formação,489,Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Tecnologia,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,3032,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Barcelos,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
21,Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Castelo Branco,3050,Escola Superior de Tecnologia de Castelo Branco,Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco,3053,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Castelo Branco,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
22,Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Castelo Branco,3050,Escola Superior de Tecnologia de Castelo Branco,Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco,3053,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Castelo Branco,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
23,Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,7045,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Leiria,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
24,Informática - programas não classificados noutra área de formação,489,Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,7045,Informática para a Saúde,,Yes,Yes,Yes,Yes,,,Leiria,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
25,Informática - programas não classificados noutra área de formação,489,Instituto Politécnico do Cávado e do Ave,3030,Escola Superior de Tecnologia,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,3032,Informática para a Saúde (regime pós-laboral),,Yes,Yes,Yes,Yes,,,Barcelos,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
26,Ciências Informáticas,481,Escola Superior de Enfermagem do Porto,7003,,Escola Superior de Enfermagem do Porto - ,7003,Sistemas de Informação em Enfermagem,,No,Yes,Yes,Yes,,,Porto,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
27,Ciências Informáticas,481,Instituto Politécnico de Coimbra,3060,Escola Superior de Tecnologia da Saúde de Coimbra,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra,7210,Sistemas e Tecnologias da Informação para a Saúde,,Not sure,Yes,Yes,Yes,,,Coimbra,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
28,Ciências Informáticas,481,Instituto Politécnico de Coimbra,3060,Instituto Superior de Engenharia de Coimbra,Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra,3064,Sistemas e Tecnologias da Informação para a Saúde,,Not sure,Yes,Yes,Yes,,,Coimbra,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
29,Saúde,720,Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,7045,Ciências da Informação em Saúde,,Yes,Yes,Yes,Not sure,,,Leiria,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
30,Saúde,720,Instituto Politécnico de Leiria,3100,Escola Superior de Saúde de Leiria,Instituto Politécnico de Leiria - Escola Superior de Saúde de Leiria,7045,Ciências da Informação em Saúde,,Yes,Yes,Yes,Not sure,,,Leiria,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
31,Ciências Informáticas,481,Instituto Politécnico do Porto,3130,Instituto Superior de Engenharia do Porto,Instituto Politécnico do Porto - Instituto Superior de Engenharia do Porto,3135,Computação e Instrumentação Médica,,Yes,Yes,Yes,Not sure,,,Porto,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
32,Saúde - programas não classificados noutra área de formação,729,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Evidência e Decisão em Saúde,,Not sure,Yes,,Not sure,Avaliação de Tecnologias em Saúde 6ECTS,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
33,Saúde - programas não classificados noutra área de formação,729,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Investigação Clínica e em Serviços de Saúde,,Not sure,Yes,Not sure,Not sure,Informática na investigação em saúde 3ects Avaliação de tecnologias em saúde 5ECTS,,Porto,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
34,Saúde,720,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,"Políticas, Administração e Avaliação em Saúde",,No,Yes,No,Not sure,Sistemas de Informação e saúde digital 6ECTS,,Porto,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
57,Biologia e Bioquímica,421,Universidade da Beira Interior,400,,Universidade da Beira Interior - ,400,Ciências Biomédicas,,Not sure,Yes,,No,Opc: Bioinformática 6ECTS Biossinais 6ECTS,,Covilhã,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
58,Enfermagem,723,Escola Superior de Enfermagem do Porto,7003,,Escola Superior de Enfermagem do Porto - ,7003,Direção e Chefia de Serviços de Enfermagem,,Not sure,Yes,,No,Intr. aos sistemas de informação em enfermagem 2ects,,Porto,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
59,Enfermagem,723,Escola Superior de Enfermagem do Porto,7003,,Escola Superior de Enfermagem do Porto - ,7003,Enfermagem,,Not sure,Yes,,No,Informação em Saúde- 3ECTS,,Porto,,Licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
60,Medicina,721,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Medicina,,Not sure,Yes,Not sure,No,"DECIDES III: Decisão, Dados e Saúde Digital 4ects / Optativas: SADC, Telemedicina e e-saúde ects",,Porto,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
61,Medicina,721,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Medicina,,Not sure,Yes,Not sure,No,,,Porto,,Mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
62,Medicina,721,Universidade do Porto,1100,Faculdade de Medicina,Universidade do Porto - Faculdade de Medicina,1108,Medicina,,Not sure,Yes,Not sure,No,,,Porto,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
63,Biologia e Bioquímica,421,Universidade dos Açores,100,Ponta Delgada,Universidade dos Açores - Ponta Delgada,130,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Ponta Delgada,,Licenciatura 1.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
64,Biologia e Bioquímica,421,Instituto Politécnico de Coimbra,3060,Instituto Superior de Contabilidade e Administração de Coimbra,Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra,3063,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Coimbra,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
65,Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Lisboa,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
66,Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Lisboa,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
67,Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
68,Biologia e Bioquímica,421,"ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida",6800,,"ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida - ",6800,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Lisboa,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
69,Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
70,Biologia e Bioquímica,421,Instituto Politécnico de Setúbal,3150,Escola Superior de Tecnologia de Setúbal,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia de Setúbal,3152,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Setúbal,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
71,Biologia e Bioquímica,421,Universidade Católica Portuguesa,2200,Escola Superior de Biotecnologia,Universidade Católica Portuguesa - Escola Superior de Biotecnologia,2210,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Porto,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
72,Biologia e Bioquímica,421,Instituto Politécnico de Setúbal,3150,Escola Superior de Ciências Empresariais,Instituto Politécnico de Setúbal - Escola Superior de Ciências Empresariais,3150,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Setúbal,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
73,Biologia e Bioquímica,421,Universidade Católica Portuguesa,2200,Escola Superior de Biotecnologia,Universidade Católica Portuguesa - Escola Superior de Biotecnologia,2210,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Porto,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
74,Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Lisboa,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
75,Biologia e Bioquímica,421,Universidade do Minho,1000,,Universidade do Minho - ,1000,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Braga,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
76,Biologia e Bioquímica,421,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Porto,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
77,Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
78,Biologia e Bioquímica,421,Universidade dos Açores,100,Ponta Delgada,Universidade dos Açores - Ponta Delgada,130,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Ponta Delgada,,Licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
79,Biologia e Bioquímica,421,Instituto Politécnico de Setúbal,3150,Escola Superior de Tecnologia do Barreiro,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia do Barreiro,3154,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Barreiro,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
80,Biologia e Bioquímica,421,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Porto,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
81,Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Lisboa,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
82,Biologia e Bioquímica,421,Instituto Politécnico de Setúbal,3150,Escola Superior de Saúde,Instituto Politécnico de Setúbal - Escola Superior de Saúde,3151,Bioinformática,,Not sure,Not sure,Yes,Yes,,,Setúbal,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
83,Ciências da Vida,420,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Bioinformática Clínica,,Not sure,Not sure,Yes,Yes,,,Aveiro,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
84,Ciências da Vida,420,Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências e Tecnologia,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,1203,Bioinformática e Aplicações às Ciências da Vida,,Not sure,Not sure,Yes,Yes,,,Vila Real,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
85,Biologia e Bioquímica,421,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Bioinformática e Biologia Computacional,,Not sure,Not sure,Yes,Yes,,,Porto,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
86,Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Bioinformática e Biologia Computacional,,Not sure,Not sure,Yes,Yes,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
87,Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Bioinformática e Biologia Computacional,,Not sure,Not sure,Yes,Yes,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
88,Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Bioinformática e Biologia Computacional,,Not sure,Not sure,Yes,Yes,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
89,Biologia e Bioquímica,421,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Bioinformática e Biologia Computacional,,Not sure,Not sure,Yes,Yes,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
90,Biologia e Bioquímica,421,Universidade do Porto,1100,Faculdade de Ciências,Universidade do Porto - Faculdade de Ciências,1103,Bioinformática e Biologia Computacional,,Not sure,Not sure,Yes,Yes,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
91,Ciências da Vida,420,Universidade Nova de Lisboa,900,Instituto de Tecnologia Química e Biológica António Xavier,Universidade Nova de Lisboa - Instituto de Tecnologia Química e Biológica António Xavier,910,Biologia Computacional e Bioinformática,,Not sure,Not sure,,Yes,,,Oeiras,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
92,Ciências da Vida,420,Universidade Nova de Lisboa,900,Instituto Superior de Estatística e Gestão de Informação,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,906,Biologia Computacional e Bioinformática,,Not sure,Not sure,,Yes,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
93,Ciências da Vida,420,Universidade Nova de Lisboa,900,Instituto de Higiene e Medicina Tropical,Universidade Nova de Lisboa - Instituto de Higiene e Medicina Tropical,905,Biologia Computacional e Bioinformática,,Not sure,Not sure,,Yes,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
94,Ciências da Vida,420,Universidade Nova de Lisboa,900,Faculdade de Ciências Médicas,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,901,Biologia Computacional e Bioinformática,,Not sure,Not sure,,Yes,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
95,Ciências da Vida,420,Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,903,Biologia Computacional e Bioinformática,,Not sure,Not sure,,Yes,,,Almada,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
96,Biologia e Bioquímica,421,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Genómica e Bioinformática,,Not sure,Not sure,,Yes,,,Aveiro,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
97,Ciências da Vida,420,Instituto Politécnico de Lisboa,3110,Instituto Superior de Engenharia de Lisboa,Instituto Politécnico de Lisboa - Instituto Superior de Engenharia de Lisboa,3118,Tecnologias Biomédicas,,Not sure,Not sure,,Yes,,,Lisboa,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
98,Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Lisboa,700,Instituto Superior Técnico,Universidade de Lisboa - Instituto Superior Técnico,708,Tecnologias Biomédicas,,Not sure,Not sure,,Yes,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
