CNAEF_Areas of Education and Training,CNAEF_Areas of Education and Training_Main Code,Institution_Name,Institution_Name_ID,Institution_School,,Institution_School_ID,Course_Name,Course_Name_ID,PDC Selection,SM Selection,JA Selection,Final Selection,,Course_ID,Location,Course_Level,Course_Level(ii),Course_Type,Course_Duration,Course_Credits,Education System,Education Sub-System,Teachin&Learning_Specialization,Teachin&Learning_Thematic Area 1,ECTS_1,Teachin&Learning_Thematic Area 2,ECTS_2,Teachin&Learning_Thematic Area 3,ECTS_3,Teachin&Learning_Thematic Area 4,ECTS_4,Teachin&Learning_Thematic Area 5,ECTS_5,Teachin&Learning_Thematic Area 6,ECTS_6,Teachin&Learning_Teaching Staff,Teachin&Learning_Delivery Modes,Teachin&Learning_Accreditation,Teachin&Learning_Accrediting Institution,Contacts_Contact Person Name,Contacts_Contact Person Address,Contacts_Course Director Name,Contacts_Course Director Address,Contacts_Course Website,Activity_Status,Activity_Last Updated,Job Prospects_Career Center,Job Prospects_Partnerships,Job Prospects_Internship,Job Prospects_Employability
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Instituto Politécnico de Leiria,3100,Escola Superior de Tecnologia e Gestão,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,7045,Tecnologia dos Equipamentos de Saúde,,No,Not sure,,No,,,Leiria,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Farmacêuticas,727,Universidade do Porto,1100,Faculdade de Farmácia,Universidade do Porto - Faculdade de Farmácia,1106,Tecnologia Farmacêutica,,No,Not sure,,No,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Farmacêuticas,727,Universidade do Porto,1100,Faculdade de Farmácia,Universidade do Porto - Faculdade de Farmácia,1106,Tecnologia Farmacêutica,,No,Not sure,,No,,,Porto,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Farmacêuticas,727,Universidade do Porto,1100,Faculdade de Farmácia,Universidade do Porto - Faculdade de Farmácia,1106,Tecnologia Farmacêutica,,No,Not sure,,No,,,Porto,,Doutoramento,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico do Porto,3130,Escola Superior de Saúde do Porto,Instituto Politécnico do Porto - Escola Superior de Saúde do Porto,3132,Tecnologia Médica e Negócios em Saúde,,Not sure,Not sure,,No,,,Porto,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências e Tecnologia,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,1203,Tecnologia Óptica e Instrumentação,,Not sure,Not sure,,No,,,Vila Real,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Trás-os-Montes e Alto Douro,1200,,Universidade de Trás-os-Montes e Alto Douro - ,1200,Tecnologia Óptica e Instrumentação,,Not sure,Not sure,,No,,,Vila Real,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,7220,Tecnologias Clínico-Laboratoriais,,Not sure,Not sure,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Aveiro,300,,Universidade de Aveiro - ,300,Tecnologias da Imagem Médica,,Not sure,Not sure,,No,,,Aveiro,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,7220,Tecnologias de Física Médica,,Not sure,Not sure,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Dentárias,724,Universidade de Lisboa,700,Faculdade de Medicina Dentária,Universidade de Lisboa - Faculdade de Medicina Dentária,6600,Tecnologias Digitais em Prótese Dentária,,No,Not sure,,No,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Farmacêuticas,727,Universidade de Coimbra,500,Faculdade de Farmácia,Universidade de Coimbra - Faculdade de Farmácia,504,Tecnologias do Medicamento,,No,Not sure,,No,,,Coimbra,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Farmacêuticas,727,Universidade de Coimbra,500,Faculdade de Farmácia,Universidade de Coimbra - Faculdade de Farmácia,504,Tecnologias do Medicamento,,No,Not sure,,No,,,Coimbra,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências da Vida,420,Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,7220,Tecnologias Moleculares em Saúde,,Not sure,Not sure,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Viseu,3180,Escola Superior de Saúde de Viseu,Instituto Politécnico de Viseu - Escola Superior de Saúde de Viseu,7085,Tratamento de Feridas e Regeneração Tecidular,,No,Not sure,,No,,,Viseu,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Enfermagem,723,Instituto Politécnico de Setúbal,3150,Escola Superior de Saúde,Instituto Politécnico de Setúbal - Escola Superior de Saúde,3151,Tratamento de Feridas e Viabilidade Tecidular,,No,Not sure,,No,,,Setúbal,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Instituto Politécnico de Castelo Branco,3050,Escola Superior de Saúde Dr. Lopes Dias,Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias,7020,Ventilação Mecânica Não Invasiva,,No,Not sure,,No,,,Castelo Branco,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade de Lisboa,700,Faculdade de Ciências,Universidade de Lisboa - Faculdade de Ciências,701,Ciências da Engenharia - Engenharia Biomédica e Biofísica,,Not sure,No,,Yes,,,Lisboa,,Licenciatura de mestrado integrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde,720,Universidade Nova de Lisboa,900,Faculdade de Ciências Médicas,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,901,Ciências e Tecnologias da Saúde e Bem-estar (associação),,No,No,,Yes,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde,720,Universidade Nova de Lisboa,900,Escola Nacional de Saúde Pública,Universidade Nova de Lisboa - Escola Nacional de Saúde Pública,908,Ciências e Tecnologias da Saúde e Bem-estar (associação),,No,No,,Yes,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde,720,Universidade de Évora,600,Instituto de Investigação e Formação Avançada,Universidade de Évora - Instituto de Investigação e Formação Avançada,601,Ciências e Tecnologias da Saúde e Bem-estar (associação),,No,No,,Yes,,,Évora,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Instituto Politécnico de Coimbra,3060,Instituto Superior de Engenharia de Coimbra,Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra,3064,Engenharia Biomédica - Bioeletrónica,,Not sure,No,,Yes,,,Coimbra,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins,520,Instituto Politécnico de Setúbal,3150,Escola Superior de Tecnologia de Setúbal,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia de Setúbal,3152,Engenharia Biomédica - Desporto e Reabilitação,,Not sure,No,,Yes,,,Setúbal,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins,520,Instituto Politécnico de Setúbal,3150,Escola Superior de Saúde,Instituto Politécnico de Setúbal - Escola Superior de Saúde,3151,Engenharia Biomédica - Desporto e Reabilitação,,Not sure,No,,Yes,,,Setúbal,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade Católica Portuguesa,2200,Faculdade de Engenharia,Universidade Católica Portuguesa - Faculdade de Engenharia,2255,Eng (Ambiente e Urbanismo+Biomédica+Civil+Clínica+Industrial+Informática),,Not sure,No,,Not sure,,,Sintra,,Licenciatura,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Engenharia e Técnicas Afins - programas não classificados noutra área de formação,529,Universidade Católica Portuguesa,2200,Faculdade de Engenharia,Universidade Católica Portuguesa - Faculdade de Engenharia,2255,Eng Civil+Eng Biomédica+Eng Mecânica,,No,No,,Not sure,,,Sintra,,Licenciatura 1.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Setúbal,3150,Escola Superior de Saúde,Instituto Politécnico de Setúbal - Escola Superior de Saúde,3151,(Re)Habilitação Vocal,,No,No,,No,,,Setúbal,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Serviços de Saúde Pública,853,Instituto Politécnico de Beja,3020,Escola Superior de Saúde,Instituto Politécnico de Beja - Escola Superior de Saúde,3022,A Criança/Adolescente e o Ambiente Seguro,,No,No,,No,,,Beja,,Especialização pós-licenciatura,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Terapia e Reabilitação,726,Escola Superior de Saúde do Alcoitão,4105,,Escola Superior de Saúde do Alcoitão - ,4105,Abordagens na Criança em Contexto Educativo,,No,No,,No,,,Cascais,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,600,Escola de Ciências e Tecnologia,Universidade de Évora - Escola de Ciências e Tecnologia,602,Acompanhamento Farmacoterapêutico,,No,No,,No,,,Évora,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,600,,Universidade de Évora - ,600,Acompanhamento Farmacoterapêutico,,No,No,,No,,,Évora,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,600,,Universidade de Évora - ,600,Acompanhamento Farmacoterapêutico,,No,No,,No,,,Évora,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Farmacêuticas,727,Instituto Politécnico do Porto,3130,Escola Superior de Saúde do Porto,Instituto Politécnico do Porto - Escola Superior de Saúde do Porto,3132,Aconselhamento e Informação em Farmácia,,No,No,,No,,,Porto,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Porto,1100,Instituto de Ciências Biomédicas Abel Salazar,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,1109,Aconselhamento Genético,,No,No,,No,,,Porto,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade do Porto,1100,Instituto de Ciências Biomédicas Abel Salazar,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,1109,Aconselhamento Genético,,No,No,,No,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Estatística,462,Universidade Técnica de Lisboa,800,Instituto Superior de Economia e Gestão,Universidade Técnica de Lisboa - Instituto Superior de Economia e Gestão,805,Actuariado e Gestão de Riscos Financeiros,,No,No,,No,,,Lisboa,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Estatística,462,Universidade Técnica de Lisboa,800,Instituto Superior de Economia e Gestão,Universidade Técnica de Lisboa - Instituto Superior de Economia e Gestão,805,Actuariado e Gestão de Riscos Financeiros,,No,No,,No,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Coimbra,500,Faculdade de Medicina,Universidade de Coimbra - Faculdade de Medicina,506,Acupunctura,,No,No,,No,,,Coimbra,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Universidade de Coimbra,500,Faculdade de Medicina,Universidade de Coimbra - Faculdade de Medicina,506,Acupunctura em Medicina Dentária,,No,No,,No,,,Coimbra,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Escola Superior de Saúde Norte da Cruz Vermelha Portuguesa,4099,,Escola Superior de Saúde Norte da Cruz Vermelha Portuguesa - ,4099,Acupuntura,,No,No,,No,,,Macedo De Cavaleiros,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Instituto Politécnico de Setúbal,3150,Escola Superior de Saúde,Instituto Politécnico de Setúbal - Escola Superior de Saúde,3151,Acupuntura,,No,No,,No,,,Setúbal,,Licenciatura 1.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Instituto Politécnico da Lusofonia,3095,Escola Superior de Saúde Ribeiro Sanches,Instituto Politécnico da Lusofonia - Escola Superior de Saúde Ribeiro Sanches,3095,Acupuntura,,No,No,,No,,,Seia,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Escola Superior de Saúde Ribeiro Sanches,4104,,Escola Superior de Saúde Ribeiro Sanches - ,4104,Acupuntura,,No,No,,No,,,Lisboa,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia,4101,,Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia - ,4101,Acupuntura,,No,No,,No,,,Vila Nova De Gaia,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Instituto Politécnico Jean Piaget do Norte,3135,Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia,Instituto Politécnico Jean Piaget do Norte - Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia,3135,Acupuntura,,No,No,,No,,,Porto,,Licenciatura 1.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Física,441,Universidade Nova de Lisboa,900,Faculdade de Ciências Sociais e Humanas,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,902,Acústica e Estudos de Sons,,No,No,,No,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Instituto Superior Politécnico Gaya,4440,Escola Superior de Ciência e Tecnologia,Instituto Superior Politécnico Gaya - Escola Superior de Ciência e Tecnologia,4442,Administração de Redes e Sistemas Informáticos,,No,No,No,No,,,Vila Nova De Gaia,,Mestrado 2.º ciclo,,,,Private,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Aberta,1400,,Universidade Aberta - ,1400,Álgebra Computacional,,No,No,,No,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade Aberta,1400,,Universidade Aberta - ,1400,Álgebra Computacional (associação),,No,No,,No,,,Lisboa,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Coimbra,500,Faculdade de Ciências e Tecnologia,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,501,Álgebra Computacional (associação),,No,No,,No,,,Coimbra,,Doutoramento 3.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências da Vida - programas não classificados noutra área de formação,429,Universidade do Porto,1100,Faculdade de Ciências da Nutrição e da Alimentação,Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,1101,Alimentação Colectiva,,No,No,,No,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Matemática,461,Universidade de Coimbra,500,Faculdade de Ciências e Tecnologia,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,501,Análise Aplicada e Optimização,,No,No,,No,,,Coimbra,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Estatística,462,ISCTE,4441,Instituto Universitário de Lisboa,ISCTE - Instituto Universitário de Lisboa,6800,Análise de Dados Aplicada à Gestão,,No,No,,No,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Estatística,462,Universidade dos Açores,100,Faculdade de Ciências e Tecnologia,Universidade dos Açores - Faculdade de Ciências e Tecnologia,7091,Análise de Dados e Gestão da Informação,,No,No,,No,,,Ponta Delgada,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Estatística,462,Universidade dos Açores,100,Ponta Delgada,Universidade dos Açores - Ponta Delgada,130,Análise de Dados e Gestão da Informação,,No,No,,No,,,Ponta Delgada,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Estatística,462,ISCTE,4441,Instituto Universitário de Lisboa,ISCTE - Instituto Universitário de Lisboa,6800,Análise de Dados em Ciências Sociais,,No,No,,No,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Ciências Informáticas,481,Universidade de Lisboa,700,Instituto Superior de Economia e Gestão,Universidade de Lisboa - Instituto Superior de Economia e Gestão,708,Análise de Dados Empresariais,,No,No,No,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática - programas não classificados noutra área de formação,489,Universidade Católica Portuguesa,2200,Faculdade de Ciências Económicas e Empresariais,Universidade Católica Portuguesa - Faculdade de Ciências Económicas e Empresariais,2270,Análise de Dados para Gestão,,No,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Instituto Politécnico de Lisboa,3110,Instituto Superior de Engenharia de Lisboa,Instituto Politécnico de Lisboa - Instituto Superior de Engenharia de Lisboa,3118,Análise e Controlo de Riscos Ambientais para a Saúde,,No,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Saúde - programas não classificados noutra área de formação,729,Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,7220,Análise e Controlo de Riscos Ambientais para a Saúde,,No,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Informática,480,Universidade Nova de Lisboa,900,Faculdade de Ciências e Tecnologia,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,903,Análise e Engenharia de Big Data,,Not sure,No,,No,,,Almada,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,600,,Universidade de Évora - ,600,Análises Aerobiológicas,,No,No,,No,,,Évora,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,600,,Universidade de Évora - ,600,Análises Aerobiológicas,,No,No,,No,,,Évora,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Biologia e Bioquímica,421,Universidade de Évora,600,Escola de Ciências e Tecnologia,Universidade de Évora - Escola de Ciências e Tecnologia,602,Análises Aerobiológicas,,No,No,,No,,,Évora,,Mestrado,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Lisboa,700,Faculdade de Farmácia,Universidade de Lisboa - Faculdade de Farmácia,703,Análises Clínicas,,Not sure,No,,No,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Coimbra,500,Faculdade de Farmácia,Universidade de Coimbra - Faculdade de Farmácia,504,Análises Clínicas,,Not sure,No,,No,,,Coimbra,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Universitário de Ciências da Saúde,4441,,Instituto Universitário de Ciências da Saúde - ,4441,Análises Clínicas,,Not sure,No,,No,,,Vila Nova De Gaia,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Coimbra,500,Faculdade de Farmácia,Universidade de Coimbra - Faculdade de Farmácia,504,Análises Clínicas,,Not sure,No,,No,,,Coimbra,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Évora,600,,Universidade de Évora - ,600,Análises Clínicas,,Not sure,No,,No,,,Évora,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Lisboa,700,Faculdade de Farmácia,Universidade de Lisboa - Faculdade de Farmácia,703,Análises Clínicas,,Not sure,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Lisboa,700,Faculdade de Farmácia,Universidade de Lisboa - Faculdade de Farmácia,703,Análises Clínicas,,Not sure,No,,No,,,Lisboa,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Universitário Egas Moniz,4441,,Instituto Universitário Egas Moniz - ,4441,Análises Clínicas,,Not sure,No,,No,,,Vila Nova De Gaia,,Mestrado 2.º ciclo,,,,Private, University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade do Porto,1100,Faculdade de Farmácia,Universidade do Porto - Faculdade de Farmácia,1106,Análises Clínicas,,Not sure,No,,No,,,Porto,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade do Porto,1100,Faculdade de Farmácia,Universidade do Porto - Faculdade de Farmácia,1106,Análises Clínicas,,Not sure,No,,No,,,Porto,,Especialização pós-licenciatura,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Lisboa,700,Faculdade de Farmácia,Universidade de Lisboa - Faculdade de Farmácia,703,Análises Clínicas,,Not sure,No,,No,,,Lisboa,,Mestrado 2.º ciclo,,,,Public , University,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Lisboa,3110,Escola Superior de Tecnologia da Saúde de Lisboa,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,7220,Análises Clínicas e de Saúde Pública,,Not sure,No,,No,,,Lisboa,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Universidade de Aveiro,300,Escola Superior de Saúde de Aveiro,Universidade de Aveiro - Escola Superior de Saúde de Aveiro,3013,Análises Clínicas e de Saúde Pública,,Not sure,No,,No,,,Aveiro,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Coimbra,3060,Escola Superior de Tecnologia da Saúde de Coimbra,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra,7210,Análises Clínicas e de Saúde Pública,,Not sure,No,,No,,,Coimbra,,Licenciatura bietápica,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
Tecnologias de Diagnóstico e Terapêutica,725,Instituto Politécnico de Coimbra,3060,Escola Superior de Tecnologia da Saúde de Coimbra,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra,7210,Análises Clínicas e de Saúde Pública,,Not sure,No,,No,,,Coimbra,,Bacharelato,,,,Public ,Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,4/12/2022,,,,
